관측소명,Latitude,Longitude,Average,Max,Min,Stdev,,,
래미안밤섬리베뉴Ⅱ,,,13.31732263,37.68,8.31,1.269632782,,,
롯데월드타워,37.5124641,127.102543,12.613,13.64,11.3,0.863817689,,,
롯데캐슬아파트,,,8.29589852,17.7,0,1.782406785,,,
롯데캐슬아파트(강동),37.556179,127.144452,15.26405669,18.67,-0.01,2.383484313,,,
마곡소공원,37.5675352,126.8221174,5.403547915,20,3.45,1.164481258,,,
마천국민임대주택단지,,,9.484350356,31.87,0,4.01821311,,,
마포삼성아파트,37.5401127,126.9503477,10.45286307,13.9,0,3.471662344,,,
매봉산비상급수시설,,,27.83411377,59.4,20.75,2.625737483,,,
명동바닥분수,37.55998,126.9858296,12.3702084,70.71,-14.45,3.116797669,,,
명일지에스아파트,37.5488625,127.1462428,8.046503716,11.41,7.01,0.274246168,,,
무궁화동산,37.5841992,126.9722751,13.04923611,38.22,3.2,8.336017324,,,
문래청소년회관,37.5188506,126.8940656,16.01435619,168.05,10.93,3.992581625,,,
문정래미안,37.4905107,127.1303693,8.765946948,9.82,6.78,0.630008581,,,
문화비축기지,37.5705673,126.8942802,5.217595376,25,3.94,0.783104093,,,
미성아파트,37.5199076,126.9245387,2.871928284,30,0,3.023060529,,,
미아주유소(관측종료),,,10.95145791,39.4,0,13.39130487,,,
반포본동주공아파트(관측종료),,,14.29111801,16.11,13.68,0.29927559,,,
반포유수지,,,11.14913476,12.68,0,1.035224626,,,
반포자이아파트,37.506205,127.009364,10.63522461,12.39,0,0.370614229,,,
방배빗물펌프장,37.4900721,126.9869986,7.834065844,35,7.11,1.593251745,,,
방학초등학교,37.6640285,127.0321675,3.763130303,5.31,1.62,0.85640513,,,
방화빗물펌프장,37.5713643,126.7969871,5.974111272,30,4.51,3.243714989,,,
배꽃어린이공원,37.6258907,127.09279,8.255064582,15.96,0,1.301593378,,,
버섯분수,,,11.25834411,12.72,9.8,0.457527921,,,
벌말어린이공원,37.6297222,127.04,7.471989033,7.78,6.55,0.169246709,,,
보람아파트,36.3690523,127.4310904,16.50710471,39.34,0,11.15427005,,,
봄날서울요양원,37.5743593,126.809275,8.790132256,11.03,4.01,1.511220287,,,
봉원사주차장,37.5719909,126.947403,11.25797988,40,0.26,1.542604208,,,
부리근린공원,37.5144949,127.0873511,11.1133343,13.35,0,2.879129567,,,
북가좌놀이터,37.5787976,126.9111852,4.183233817,6.83,0,0.528461014,,,
비전빌딩,,,8.864332604,21.71,3.27,1.25553394,,,
사당어린이놀이터,,,4.512643954,6.19,0,1.327971143,,,
사랑초요양원,37.5237721,126.826132,9.395671251,11.71,8.43,0.355823189,,,
산새마을,37.5959073,126.9057537,7.261804002,59.35,0,5.717879233,,,
살레시오회관(관측종료),,,4.343159491,18.16,0,1.513377309,,,
삼보빌딩(관측종료),,,7.493963964,38.39,0,6.91021548,,,
삼선초등학교(암반),37.5861997,127.0126323,8.290355556,9.05,3.38,1.002078222,,,
삼선초등학교(충적),37.5861997,127.0126323,8.594222222,9.1,6.28,0.507370077,,,
삼성광나루아파트,37.5540365,127.1271008,12.32046769,34.08,10.77,1.836638049,,,
삼성아파트,,,5.132652259,6.86,2.48,0.770567082,,,
삼성초등학교,33.5030539,126.5254857,6.929912664,37.63,4.63,1.047706093,,,
삼육대학교,37.6435824,127.1063459,12.5870069,36,0.39,11.11906462,,,
삼청공원,37.5903931,126.9859125,4.845715942,6.18,2.78,0.642227483,,,
삼표에너지가스충전소,,,4.812678311,9.17,3.54,0.91509576,,,
삿갓봉근린공원(관측종료),37.6579143,127.0760962,5.672143135,26.68,1.04,2.982692112,,,
상계근린공원,37.6700234,127.0503762,6.385484247,16.3,0,1.404063084,,,
상도근린공원,37.4935833,126.937143,11.59207935,27.26,7.78,1.47110783,,,
상도동마을마당(1),37.4987343,126.9440592,5.967562241,35.48,3.61,3.250398918,,,
상도동마을마당(2),37.4987343,126.9440592,7.589334327,8.32,5.21,0.504331515,,,
상록수아파트,37.4826174,127.0818022,13.92048052,17.79,12.46,0.593676763,,,
상암11단지,37.5780059,126.8939358,7.816438356,14.26,0,3.424323591,,,
상암근린공원_암반층,37.5772193,126.8855278,8.794252806,9.51,4.42,0.589564988,,,
상암근린공원_충적층,37.5772193,126.8855278,8.103250737,18.35,5.84,0.61919883,,,
서교초등학교,37.5546731,126.9251258,15.54106709,16.68,11.54,0.889949954,,,
서문여고,37.4893047,126.9854971,3.591750705,8,1.37,0.556876415,,,
서빙고압축장,,,5.03407887,26.76,1.95,3.435947816,,,
서서울생활과학고,37.5032694,126.8276975,8.913961749,26.76,1.86,4.602560096,,,
서서울호수공원(관측종료),37.527672,126.829852,10.04997008,29.06,0,8.210750929,,,
서울고등학교,37.4839954,127.0057386,4.370403423,5.29,2.94,0.410636049,,,
서울공업고등학교,37.5015292,126.9222375,13.05044934,29.91,12.39,0.636315295,,,
서울교육대학교,37.4901737,127.0162346,12.43165294,26.95,5.28,3.585100094,,,
서울대입구(암반),37.48121,126.952712,7.823798206,8.13,5.88,0.318442066,,,
서울대입구(충적),37.48121,126.952712,6.484598375,7.18,2.27,0.435865276,,,
서울도시과학기술고등학교(1)(관측종료),37.6074229,127.03236,8.53560487,25.27,0,2.340183179,,,
서울세관,37.5183709,127.034412,14.93490157,41.26,4.92,3.302778126,,,
서울숲공원,37.5443878,127.0374424,10.68461332,51.4,0,1.73412589,,,
서울시데이터센터,37.4795371,127.0218775,7.491975095,35.4,0.06,8.958653016,,,
서울시립대학교,37.5838657,127.0587771,2.474499712,3.99,0,0.397286541,,,
서울영어마을(암반층),37.550263,126.9970831,5.130285714,6.05,2.85,0.54798411,,,
서울영어마을(충적층),37.550263,126.9970831,5.294870396,6.19,2.64,0.565005297,,,
서울의료원,37.612781,127.0981787,12.20893905,14.68,0,1.523535523,,,
서울제일교회,37.5508422,126.974137,7.335194313,9.25,0.34,2.278833229,,,
서울창포원(관측종료),37.6893333,127.0481194,20.6263466,47.13,0,18.41353929,,,
서초어린이놀이터,37.4709953,127.0351609,10.98480542,13.23,7.23,1.351026413,,,
석관초등학교,37.610698,127.059044,4.950072524,7.65,0.99,0.608607799,,,
성남중고등학교,37.5051247,126.926143,6.311625835,15.51,2.85,2.24707862,,,
성내삼성아파트,37.5307363,127.1259006,5.850783257,9.43,4.23,1.199422955,,,
성산빗물펌프장,,,10.65928021,16.92,8.15,1.313302486,,,
